Mix,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
M6,880265,1695418,6855136,640711,2083330,265652,1177599,3363930,2852434,918841,7097151,418441,935267,323523,276182,168923,416698,580900,704512,182677,103799,61363,430097,181638,78051,609659,62183,51878,709957,309744,28539,43110,317842,54910,70711,73966,78576,84385,188001,169780,115713,92820
M6,897865,1654833,6260764,582112,1909295,246342,1096550,3148337,2785942,913939,6738273,387234,886130,313677,261342,161847,402417,574492,671932,178685,98933,59651,402307,170306,76287,584502,58888,50235,681068,299863,28679,41681,304140,51184,65873,75592,77697,83123,180229,166517,114458,90919
M6,855719,1633205,6367947,561358,1874713,247849,1120023,3088097,2669405,865018,6593393,384882,886001,295331,263365,161883,394737,560746,706687,192687,102118,57771,393552,170915,76505,555725,59809,49724,692458,304265,27448,41839,306701,55671,66614,76156,76145,81845,176080,162923,114399,94584
M7,1275230,1694601,7459525,830145,2577380,371370,1318342,3733595,2417144,1277057,7780516,589770,895595,389918,340282,206879,483447,693224,844922,281621,141427,90133,481183,271143,79802,747025,70033,60059,869235,365832,16338,57199,380970,66432,79246,56391,81164,59037,213134,210375,137323,100511
M7,1276519,1717433,7633048,836534,2620366,377607,1416945,3976494,2720873,1348478,8060861,616851,963376,417455,371673,212310,490622,696805,879075,293287,141860,84251,480428,259131,79017,737443,69430,58679,875645,367881,15676,55738,382690,66275,83185,60373,84942,60112,213867,215764,133089,101319
M7,1371118,1809620,7898704,882610,2826804,398348,1423447,4109353,2629366,1283898,8248202,624607,920754,405592,357238,226035,518805,758576,921389,311086,146261,89267,505166,270876,78925,748724,70744,59009,876993,361099,14888,61083,414040,74408,85259,63590,87465,75461,235160,225343,151099,114369
M7,1303632,1727976,7668042,846880,2692887,384118,1343185,3935648,2558378,1273284,8004134,651235,992267,432088,373833,234316,555006,770878,972697,333906,160619,95925,527530,286317,90965,803246,75491,66287,933601,401676,18600,63188,406568,71777,89571,67486,89038,63485,227682,229986,143700,111686
M7,1409649,1837363,7883717,960357,2833995,435125,1496224,4198775,2770536,1380054,8188547,663518,999176,443573,403211,251654,583956,807101,973186,350621,177917,100686,546340,305581,98021,859394,82572,70525,989233,426509,18755,68556,431277,82123,94913,71953,101183,63864,247430,244578,154049,118771
M8,521807,1604095,5239250,288068,1129169,135121,909997,2410521,3064272,497166,4972367,212957,955343,248627,210595,128649,311529,429808,489695,126508,65265,43190,387979,99002,90469,413481,60757,42963,483576,259848,50114,33813,250839,50598,61664,118147,82343,127623,173416,139922,112015,97326
M8,584341,1849741,5916630,313174,1236046,151090,1006390,2672818,3285492,520023,5321434,227348,1023781,267316,220953,141003,348913,476457,537282,135255,72605,47032,404753,99347,92250,430318,64536,44069,507362,274463,53387,35633,262383,54788,62595,123998,87373,120794,166983,140957,111362,95931
M8,616908,1856822,5990057,340208,1289791,155872,1028903,2733639,3387278,560618,5511496,235786,1045918,264761,225849,139620,350144,476317,545311,141377,76652,47153,429773,109685,105347,460284,69648,46824,536467,288824,55660,37703,271006,53170,65359,127182,89989,125132,169743,142864,117250,101320
M8,599135,1890101,6034818,330638,1299651,155547,1032018,2693924,3359424,556961,5486205,236159,1066189,274035,230237,142745,356037,491211,556421,141332,75399,46944,424338,110466,105525,460246,66873,48022,540021,290306,56634,39007,276583,55823,67397,126930,90182,123351,167985,141954,112503,98242
M8,606559,1861766,5948075,313163,1227068,146729,975197,2650831,3329764,533872,5347908,235849,1041119,272588,225775,141358,347425,493452,545537,138367,72914,45606,416572,104841,101408,444427,67033,48251,538789,291591,55533,39892,266020,54143,67481,124748,87613,115232,161571,133862,112276,96165
M9,1588654,1814247,7717375,1002490,2957440,492904,1379563,4116435,2458950,1467885,6315776,803181,850801,458083,420952,215842,447835,625965,698909,367975,139138,106333,504398,252759,88905,620855,87736,58945,622954,381823,21398,67270,379153,89387,85827,79560,92563,60902,213387,204146,147622,118241
M9,1625643,1920210,8206146,1082173,3114137,537010,1454131,4353458,2577496,1465876,6581944,816294,876940,474798,428581,215471,469352,650565,714255,383661,137369,106852,520660,256177,89533,641790,92445,60644,686006,419687,25413,73689,409857,95335,89203,87697,98311,67531,226911,214462,150688,123931
M9,1525277,1742542,7488380,979095,2843731,490568,1340486,4062834,2426048,1388662,6117397,782256,818117,431385,401030,209162,437558,632273,707912,371815,146358,104926,504243,246085,89969,610246,87447,57802,620635,374712,21525,65488,377876,88139,87307,82818,88722,61914,208762,199455,145368,118441
M9,1523761,1729556,7482761,985015,2818191,491761,1308634,3956640,2362299,1350467,6039520,779216,840931,452372,415256,215080,443871,613772,694902,363339,137372,105491,498573,238295,87809,605827,87871,59526,610623,367765,21161,64798,366510,87484,81471,82145,89902,61209,211040,197571,139300,113655
M9,1503376,1710274,7529700,986497,2851592,491587,1337410,4034995,2405211,1392997,6151075,755545,823444,431121,392579,202454,426496,590655,678263,364752,135382,102617,504512,237794,86522,587977,87931,58281,619969,370434,21471,69133,380772,88422,85884,83112,90158,65572,215540,219074,142641,117585
M10,1145020,1787221,7256716,719383,2334834,304985,1480505,3706807,2980738,1187399,9044032,450164,1089500,386968,334506,226359,582272,828043,1079560,278882,164594,70768,472447,271662,85950,872629,56925,61901,1094615,361165,18060,52409,390310,54347,84598,73457,86499,91024,228102,220353,132354,107649
M10,1335850,2136138,8609357,846337,2744185,370369,1733636,4227620,3381590,1363747,9858142,517784,1239685,424622,369369,252497,637480,898651,1167233,294514,177165,76984,502599,292705,89615,917013,60640,65095,1151213,369560,18820,57870,411035,58519,88302,76500,101434,93248,253195,232688,135463,110887
M10,1401485,2197317,8592524,915417,2877661,367327,1764400,4480266,3539945,1423644,10410995,534899,1265775,447141,385670,255218,652640,929717,1179003,298307,181983,77817,527619,301928,95028,944647,65185,69381,1207234,386527,19754,57681,409802,59755,88867,80778,96206,96168,247566,244704,135909,107039
M10,1314341,2005751,8169788,847355,2787664,367747,1775828,4412030,3403774,1374410,10201415,538869,1293658,445054,389050,267636,673908,951088,1222791,311400,192339,86164,559754,308867,103212,996192,68210,74897,1263462,418736,21498,60734,444968,64589,100199,85396,103099,103135,259313,251317,152646,125700
M10,1291421,1988919,7883781,834033,2583169,341240,1632809,4102670,3289978,1315641,9794990,527328,1248879,441103,375926,246057,656551,931590,1176037,295100,185813,81549,543140,307489,99081,956993,65781,72017,1231536,423298,20339,62397,439292,64211,94913,79790,103521,99633,261058,246156,143053,118697
